imageFileCaseLeft,imageFileCaseRight,correctAns,soundQuestions,soundAnswers,block,scaffoldLevel,construction,stimuliCode,nameCode,set,stemCode,group,itemType,distractorItem,objCase,relativeClause,subjSingPlur,objSingPlur,englishPhrase,turkishPhrase,englishNoun,turkishNom,turkishNounCase,grammar,gloss,verb,caseRelative,imageFiles,soundNom,imageNom,imageAnswer,B1preCOMP.thisRepN,B1preCOMP.thisTrialN,B1preCOMP.thisN,B1preCOMP.thisIndex,B2LR1.thisRepN,B2LR1.thisTrialN,B2LR1.thisN,B2LR1.thisIndex,B2CT1.thisRepN,B2CT1.thisTrialN,B2CT1.thisN,B2CT1.thisIndex,B3PT1.thisRepN,B3PT1.thisTrialN,B3PT1.thisN,B3PT1.thisIndex,B3CT2.thisRepN,B3CT2.thisTrialN,B3CT2.thisN,B3CT2.thisIndex,B3LR2.thisRepN,B3LR2.thisTrialN,B3LR2.thisN,B3LR2.thisIndex,B4PT2.thisRepN,B4PT2.thisTrialN,B4PT2.thisN,B4PT2.thisIndex,B4CT3.thisRepN,B4CT3.thisTrialN,B4CT3.thisN,B4CT3.thisIndex,B4LR3.thisRepN,B4LR3.thisTrialN,B4LR3.thisN,B4LR3.thisIndex,B5postCOMP.thisRepN,B5postCOMP.thisTrialN,B5postCOMP.thisN,B5postCOMP.thisIndex,B6vocab.thisRepN,B6vocab.thisTrialN,B6vocab.thisN,B6vocab.thisIndex,compInstr_text.started,compInstr_text.stopped,compInstr_mouse.x,compInstr_mouse.y,compInstr_mouse.leftButton,compInstr_mouse.midButton,compInstr_mouse.rightButton,compInstr_mouse.started,compInstr_mouse.stopped,compDialogue_key.keys,compDialogue_key.corr,compDialogue_key.rt,compDialogue_key.started,compDialogue_key.stopped,compQuestion_sound.started,compQuestion_sound.stopped,compAnswer_sound.started,compAnswer_sound.stopped,compLeft_image.started,compLeft_image.stopped,compRight_image.started,compRight_image.stopped,comp_Left_text.started,comp_Left_text.stopped,comp_Right_text.started,comp_Right_text.stopped,ISI1.started,ISI1.stopped,compFeedback_text.started,compFeedback_text.stopped,compFeedback_leftPolygon.started,compFeedback_leftPolygon.stopped,compFeedback_rightPolygon.started,compFeedback_rightPolygon.stopped,compFeedback_leftImage.started,compFeedback_leftImage.stopped,compFeedback_rightImage.started,compFeedback_rightImage.stopped,compFeedback_sound.started,compFeedback_sound.stopped,ISI3.started,ISI3.stopped,firstInstrB1_text.started,firstInstrB1_text.stopped,firstInstrB1_mouse.x,firstInstrB1_mouse.y,firstInstrB1_mouse.leftButton,firstInstrB1_mouse.midButton,firstInstrB1_mouse.rightButton,firstInstrB1_mouse.started,firstInstrB1_mouse.stopped,DialogueLRq_sound.started,DialogueLRq_sound.stopped,DialogueLR_image.started,DialogueLR_image.stopped,DialogueLRa_sound.started,DialogueLRa_sound.stopped,DialogueLR_mouse.x,DialogueLR_mouse.y,DialogueLR_mouse.leftButton,DialogueLR_mouse.midButton,DialogueLR_mouse.rightButton,DialogueLR_mouse.started,DialogueLR_mouse.stopped,ISI_LR.started,ISI_LR.stopped,firstVoiceRespLR_key.keys,firstVoiceRespLR_key.rt,firstVoiceRespLR_key.started,firstVoiceRespLR_key.stopped,firstVoiceRespLR_mic.filename,firstVoiceRespLR_mic.started,firstVoiceRespLR_mic.stopped,firstVoiceRespLR_text.started,firstVoiceRespLR_text.stopped,firstVoiceRespLR_image.started,firstVoiceRespLR_image.stopped,firstVoiceRespLR_mouse.x,firstVoiceRespLR_mouse.y,firstVoiceRespLR_mouse.leftButton,firstVoiceRespLR_mouse.midButton,firstVoiceRespLR_mouse.rightButton,firstVoiceRespLR_mouse.started,firstVoiceRespLR_mouse.stopped,answerLR_sound.started,answerLR_sound.stopped,answerLR_image.started,answerLR_image.stopped,answerLR_mouse.x,answerLR_mouse.y,answerLR_mouse.leftButton,answerLR_mouse.midButton,answerLR_mouse.rightButton,answerLR_mouse.started,answerLR_mouse.stopped,secondVoiceRespLR_key.keys,secondVoiceRespLR_key.rt,secondVoiceRespLR_key.started,secondVoiceRespLR_key.stopped,secondVoiceRespLR_mic.filename,secondVoiceRespLR_mic.started,secondVoiceRespLR_mic.stopped,secondVoiceRespLR_text.started,secondVoiceRespLR_text.stopped,secondVoiceRespLR_image.started,secondVoiceRespLR_image.stopped,secondVoiceRespLR_mouse.x,secondVoiceRespLR_mouse.y,secondVoiceRespLR_mouse.leftButton,secondVoiceRespLR_mouse.midButton,secondVoiceRespLR_mouse.rightButton,secondVoiceRespLR_mouse.started,secondVoiceRespLR_mouse.stopped,prodInstr_text.started,prodInstr_text.stopped,prodInstr_mouse.x,prodInstr_mouse.y,prodInstr_mouse.leftButton,prodInstr_mouse.midButton,prodInstr_mouse.rightButton,prodInstr_mouse.started,prodInstr_mouse.stopped,prodNom_sound.started,prodNom_sound.stopped,prodNom_image.started,prodNom_image.stopped,prodNom_mouse.x,prodNom_mouse.y,prodNom_mouse.leftButton,prodNom_mouse.midButton,prodNom_mouse.rightButton,prodNom_mouse.started,prodNom_mouse.stopped,ISI_prod.started,ISI_prod.stopped,prodQuestion_sound.started,prodQuestion_sound.stopped,prodQuestion_image.started,prodQuestion_image.stopped,prodQuestion_mouse.x,prodQuestion_mouse.y,prodQuestion_mouse.leftButton,prodQuestion_mouse.midButton,prodQuestion_mouse.rightButton,prodQuestion_mouse.started,prodQuestion_mouse.stopped,prodAnswer_key.keys,prodAnswer_key.rt,prodAnswer_key.started,prodAnswer_key.stopped,prodAnswer_mic.filename,prodAnswer_mic.started,prodAnswer_mic.stopped,prodAnswer_text.started,prodAnswer_text.stopped,prodAnswer_image.started,prodAnswer_image.stopped,prodAnswer_mouse.x,prodAnswer_mouse.y,prodAnswer_mouse.leftButton,prodAnswer_mouse.midButton,prodAnswer_mouse.rightButton,prodAnswer_mouse.started,prodAnswer_mouse.stopped,prodFeedback_sound.started,prodFeedback_sound.stopped,prodFeedback_image.started,prodFeedback_image.stopped,prodFeedback_mouse.x,prodFeedback_mouse.y,prodFeedback_mouse.leftButton,prodFeedback_mouse.midButton,prodFeedback_mouse.rightButton,prodFeedback_mouse.started,prodFeedback_mouse.stopped,prodAnswerSecond_key.keys,prodAnswerSecond_key.rt,prodAnswerSecond_key.started,prodAnswerSecond_key.stopped,prodAnswerSecond_mic.filename,prodAnswerSecond_mic.started,prodAnswerSecond_mic.stopped,prodAnswerSecond_text.started,prodAnswerSecond_text.stopped,prodAnswerSecond_image.started,prodAnswerSecond_image.stopped,prodAnswerSecond_mouse.x,prodAnswerSecond_mouse.y,prodAnswerSecond_mouse.leftButton,prodAnswerSecond_mouse.midButton,prodAnswerSecond_mouse.rightButton,prodAnswerSecond_mouse.started,prodAnswerSecond_mouse.stopped,vocabInstr_text.started,vocabInstr_text.stopped,vocabInstr_mouse.x,vocabInstr_mouse.y,vocabInstr_mouse.leftButton,vocabInstr_mouse.midButton,vocabInstr_mouse.rightButton,vocabInstr_mouse.started,vocabInstr_mouse.stopped,vocabAnswer_key.keys,vocabAnswer_key.started,vocabAnswer_key.stopped,vocabAnswer_mic.filename,vocabAnswer_mic.started,vocabAnswer_mic.stopped,vocabAnswer_text.started,vocabAnswer_text.stopped,vocabAnswer_image.started,vocabAnswer_image.stopped,vocabAnswer_mouse.x,vocabAnswer_mouse.y,vocabAnswer_mouse.leftButton,vocabAnswer_mouse.midButton,vocabAnswer_mouse.rightButton,vocabAnswer_mouse.started,vocabAnswer_mouse.stopped,ISI_vocab.started,ISI_vocab.stopped,endThanks_text.started,endThanks_text.stopped,endThanks_key.keys,endThanks_key.rt,endThanks_key.started,endThanks_key.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.538027799979318,None,-0.6203125,-0.228515625,1,0,0,1.0999967344105244e-05,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,025,001,2019_Nov_04_1514,BLUE_092419,3.1.5,60.02076718286812,
ImageFiles/IAblNonePlurPLur/I32ekmekBread.png,ImageFiles/GAblNonePlurSing/G32ekmekBread.png,right,SoundFiles/SoundQuestions/qAP,SoundFiles/SoundAnswers/GAblNonePlurSing/G32,1,3,G,G32,G32ekmekBread,k,9,Res1a,OC,I32,ABL,NONE,PLUR,SING,the goats are coming from the bread,keçi-ler ekmek-ten geliyor,bread,ekmek,ekmekten,"pl subj, sing obj",goat-PL obj-ABL is.coming,come,ABL,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,12.35752609994961,101.52231749997009,None,95.52450569998473,None,100.52272800001083,None,95.52450569998473,None,95.52450569998473,None,95.52450569998473,None,95.52450569998473,None,0.0181082000490278,None,114.48428480001166,None,114.48428480001166,None,114.48428480001166,None,114.48428480001166,None,114.48428480001166,None,114.48428480001166,None,0.01010449999012053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,025,001,2019_Nov_04_1514,BLUE_092419,3.1.5,60.02076718286812,
ImageFiles/FDatNonePlurSing/F16bardakCup.png,ImageFiles/HDatNonePlurPlur/H16bardakCup.png,left,SoundFiles/SoundQuestions/qDP,SoundFiles/SoundAnswers/FDatNonePlurSing/F16,1,3,F,F16,F16bardakCup,k,1,Res1b,OC,H16,DAT,NONE,PLUR,SING,the goats are going to the cup,keçi-ler bardağ-a gidiyor,cup,bardak,bardağa,"pl subj, sing obj",goat-PL obj-DAT is.going,go,DAT,,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,4.630276000010781,125.91350659995805,None,119.91568360000383,None,124.91391899995506,None,119.91568360000383,None,119.91568360000383,None,119.91568360000383,None,119.91568360000383,None,0.007423600007314235,None,131.07834279997041,None,131.07834279997041,None,131.07834279997041,None,131.07834279997041,None,131.07834279997041,None,131.07834279997041,None,0.0032878000056371093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,025,001,2019_Nov_04_1514,BLUE_092419,3.1.5,60.02076718286812,
ImageFiles/DDatNoneSingPlur/D02inekCow.png,ImageFiles/EAblNoneSingPlur/E02inekCow.png,right,SoundFiles/SoundQuestions/qAS,SoundFiles/SoundAnswers/EAblNoneSingPlur/E02,1,2,E,E02,E02inekCow,k,9,Res1b,CC,D02,ABL,NONE,SING,PLUR,the goat is coming from the cows,keçi inek-ler-den geliyor,cows,inek,ineklerden,"sing subj, pl obj",goat obj-PL-ABL is.coming,come,ABL,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,6.161496000015177,142.57415579998633,None,136.57632799999556,None,141.5745045999647,None,136.57632799999556,None,136.57632799999556,None,136.57632799999556,None,136.57632799999556,None,0.0068039000034332275,None,149.2717306999839,None,149.2717306999839,None,149.2717306999839,None,149.2717306999839,None,149.2717306999839,None,149.2717306999839,None,0.0033375999773852527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,025,001,2019_Nov_04_1514,BLUE_092419,3.1.5,60.02076718286812,
ImageFiles/CAblNoneSingSing/C09makaraSpoolofThread.png,ImageFiles/EAblNoneSingPlur/E09makaraSpoolofThread.png,right,SoundFiles/SoundQuestions/qAS,SoundFiles/SoundAnswers/EAblNoneSingPlur/E09,1,2,E,E09,E09makaraSpoolofThread,a,2,Res1a,OC,C09,ABL,NONE,SING,PLUR,the goat is going to coming from the spools of thread,keçi makara-lar-dan geliyor,spools of thread,makara,makaralardan,"sing subj, pl obj",goat obj-PL-ABL is.coming,come,ABL,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,4.808041799988132,160.7675609999569,None,154.7697335999692,None,159.76794669998344,None,154.7697335999692,None,154.7697335999692,None,154.7697335999692,None,154.7697335999692,None,0.007100599992554635,None,166.11561249999795,None,166.11561249999795,None,166.11561249999795,None,166.11561249999795,None,166.11561249999795,None,166.11561249999795,None,0.003857899981085211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,025,001,2019_Nov_04_1514,BLUE_092419,3.1.5,60.02076718286812,
ImageFiles/IAblNonePlurPLur/I06havzaBasin.png,ImageFiles/GAblNonePlurSing/G06havzaBasin.png,right,SoundFiles/SoundQuestions/qAP,SoundFiles/SoundAnswers/GAblNonePlurSing/G06,1,3,G,G06,G06havzaBasin,a,2,Res1b,OC,I06,ABL,NONE,PLUR,SING,the goats are coming from the basin,keçi-ler havza-dan geliyor,basin,havza,havzadan,"pl subj, sing obj",goat-PL obj-ABL is.coming,come,ABL,,,,,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,3.9320940999896266,177.61151509999763,None,171.61363939999137,None,176.61183949996484,None,171.61363939999137,None,171.61363939999137,None,171.61363939999137,None,171.61363939999137,None,0.006600000022444874,None,182.0765575999976,None,182.0765575999976,None,182.0765575999976,None,182.0765575999976,None,182.0765575999976,None,182.0765575999976,None,0.0032159999827854335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,025,001,2019_Nov_04_1514,BLUE_092419,3.1.5,60.02076718286812,
ImageFiles/EAblNoneSingPlur/E28vidaScrew.png,ImageFiles/DDatNoneSingPlur/D28vidaScrew.png,left,SoundFiles/SoundQuestions/qAS,SoundFiles/SoundAnswers/EAblNoneSingPlur/E28,1,2,E,E28,E28vidaScrew,a,2,Res2,CC,D28,ABL,NONE,SING,PLUR,the goat is coming from the screws,keçi vida-lar-dan geliyor,screws,vida,vidalardan,"sing subj, pl obj",goat obj-PL-ABL is.coming,come,ABL,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,4.043061000003945,193.57238739996683,None,187.57453240000177,None,192.57273039995926,None,187.57453240000177,None,187.57453240000177,None,187.57453240000177,None,187.57453240000177,None,0.0065261999843642116,None,198.1540608999785,None,198.1540608999785,None,198.1540608999785,None,198.1540608999785,None,198.1540608999785,None,198.1540608999785,None,0.003221500024665147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,025,001,2019_Nov_04_1514,BLUE_092419,3.1.5,60.02076718286812,
ImageFiles/DDatNoneSingPlur/D22gömlekShirt.png,ImageFiles/BDatNoneSingSing/B22gömlekShirt.png,left,SoundFiles/SoundQuestions/qDS,SoundFiles/SoundAnswers/DDatNoneSingPlur/D22,1,2,D,D22,D22gömlekShirt,k,9,Res2,OC,B22,DAT,NONE,SING,PLUR,the goat is going to the shirts,keçi gömlek-ler-e gidiyor,shirts,gömlek,gömleklere,"sing subj, pl obj",goat obj-PL-DAT is.going,go,DAT,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,3.093458199989982,209.64993690000847,None,203.65209799999138,None,208.6502901999629,None,203.65209799999138,None,203.65209799999138,None,203.65209799999138,None,203.65209799999138,None,0.006953800038900226,None,213.28196339996066,None,213.28196339996066,None,213.28196339996066,None,213.28196339996066,None,213.28196339996066,None,213.28196339996066,None,0.0038238000124692917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,025,001,2019_Nov_04_1514,BLUE_092419,3.1.5,60.02076718286812,
ImageFiles/EAblNoneSingPlur/E18yatakBed.png,ImageFiles/CAblNoneSingSing/C18yatakBed.png,left,SoundFiles/SoundQuestions/qAS,SoundFiles/SoundAnswers/EAblNoneSingPlur/E18,1,2,E,E18,E18yatakBed,k,1,Res2,OC,C18,ABL,NONE,SING,PLUR,the goat is coming from the beds,keçi yatak-lar-dan geliyor,beds,yatak,yataklardan,"sing subj, pl obj",goat obj-PL-ABL is.coming,come,ABL,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,3.4455518999602646,224.77781209995737,None,218.7799895000062,None,223.7781576999696,None,218.7799895000062,None,218.7799895000062,None,218.7799895000062,None,218.7799895000062,None,0.007612299988977611,None,228.75970110000344,None,228.75970110000344,None,228.75970110000344,None,228.75970110000344,None,228.75970110000344,None,228.75970110000344,None,0.003302199998870492,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,025,001,2019_Nov_04_1514,BLUE_092419,3.1.5,60.02076718286812,
ImageFiles/GAblNonePlurSing/G03arabaCar.png,ImageFiles/FDatNonePlurSing/F03arabaCar.png,right,SoundFiles/SoundQuestions/qDP,SoundFiles/SoundAnswers/FDatNonePlurSing/F03,1,3,F,F03,F03arabaCar,a,2,Res1a,CC,G03,DAT,NONE,PLUR,SING,the goats are going to the car,keçi-ler araba-ya gidiyor,car,araba,arabaya,"pl subj, sing obj",goat-PL obj-DAT is.going,go,DAT,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,3.703713599999901,240.25554739998188,None,234.25769699999364,None,239.25591399997938,None,234.25769699999364,None,234.25769699999364,None,234.25769699999364,None,234.25769699999364,None,0.00641229999018833,None,244.50399519997882,None,244.50399519997882,None,244.50399519997882,None,244.50399519997882,None,244.50399519997882,None,244.50399519997882,None,0.0033602999756112695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,025,001,2019_Nov_04_1514,BLUE_092419,3.1.5,60.02076718286812,
